;市 町 村 別 人 口 と 世 帯;;;;;;;;
;;;;;;;　平成26年8月1日現在　　;;
;区分;世帯数;人口;;;"前月からの
人口増減";;"人口
密度
(１ｋ㎡
当たり)";"1世帯
当たり
人員"
;;;総数;男;女;増減数;"増減率
（％）";;
;芝山町;2 417 ;7 485 ;3 664 ;3 821 ;-15 ;-0,20 ;172,2 ;3,1 
;横芝光町;8 132 ;23 804 ;11 610 ;12 194 ;-32 ;-0,13 ;355,8 ;2,9 
;一宮町;4 549 ;11 922 ;5 820 ;6 102 ;10 ;0,08 ;517,9 ;2,6 
;睦沢町;2 502 ;7 158 ;3 380 ;3 778 ;-1 ;-0,01 ;201,1 ;2,9 
;長生村;5 195 ;14 459 ;7 087 ;7 372 ;-8 ;-0,06 ;510,6 ;2,8 
;白子町;4 276 ;11 462 ;5 636 ;5 826 ;-6 ;-0,05 ;417,4 ;2,7 
;長柄町;2 640 ;7 521 ;3 670 ;3 851 ;-24 ;-0,32 ;159,3 ;2,8 
;長南町;2 824 ;8 300 ;4 030 ;4 270 ;0 ;0,00 ;127,0 ;2,9 
;大多喜町;3 485 ;9 972 ;4 801 ;5 171 ;-20 ;-0,20 ;76,8 ;2,9 
;御宿町;3 203 ;7 519 ;3 533 ;3 986 ;-11 ;-0,15 ;301,7 ;2,3 
;鋸南町;3 455 ;8 300 ;3 969 ;4 331 ;-8 ;-0,10 ;183,8 ;2,4 
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
