埼玉県推計人口　平成26年8月1日現在;;;;;;Population of Saitama Prefecture as at Augusut 1, 2014;;;;;
;;;;;;;;;;;
;;;人口;Population;;前月;;;;;
市町村;;世帯数;;;;からの;;;;;
;;;総数;男;女;増加数;;;;;
Cities, Towns and Villages;;Households;Total;Male;Female;Change from Previous Month;;;;;
総  計    ;Total;2 936 924 ;7 235 651 ;3 619 712 ;3 615 939 ;1 557 ;;;;;
嵐山町    ;Ranzan-machi;6 820 ;18 301 ;9 090 ;9 211 ;-14 ;;;;;
小川町    ;Ogawa-machi;11 771 ;31 383 ;15 496 ;15 887 ;-29 ;;;;;
川島町    ;Kawajima-machi;7 097 ;21 079 ;10 668 ;10 411 ;-19 ;;;;;
吉見町    ;Yoshimi-machi;6 834 ;19 995 ;10 020 ;9 975 ;-15 ;;;;;
鳩山町    ;Hatoyama-machi;5 415 ;14 396 ;7 020 ;7 376 ;-29 ;;;;;
ときがわ町;Tokigawa-machi;4 210 ;11 628 ;5 794 ;5 834 ;-12 ;;;;;
秩父郡    ;Chichibu-gun;14 959 ;41 929 ;20 559 ;21 370 ;-64 ;;;;;
横瀬町    ;Yokoze-machi;3 076 ;8 611 ;4 272 ;4 339 ;-22 ;;;;;
皆野町    ;Minano-machi;3 715 ;10 289 ;5 014 ;5 275 ;-7 ;;;;;
長瀞町    ;Nagatoro-machi;2 708 ;7 503 ;3 637 ;3 866 ;-11 ;;;;;
小鹿野町  ;Ogano-machi;4 403 ;12 468 ;6 106 ;6 362 ;-17 ;;;;;
東秩父村  ;Higashichichibu-mura;1 057 ;3 058 ;1 530 ;1 528 ;-7 ;;;;;
児玉郡    ;Kodama-gun;19 888 ;56 069 ;27 923 ;28 146 ;-19 ;;;;;
美里町    ;Misato-machi;3 701 ;11 458 ;5 756 ;5 702 ;-9 ;;;;;
神川町    ;Kamikawa-machi;5 058 ;14 011 ;7 057 ;6 954 ;-13 ;;;;;
上里町    ;Kamisato-machi;11 129 ;30 600 ;15 110 ;15 490 ;3 ;;;;;
大里郡    ;Osato-gun;12 819 ;34 352 ;17 029 ;17 323 ;-32 ;;;;;
寄居町    ;Yorii-machi;12 819 ;34 352 ;17 029 ;17 323 ;-32 ;;;;;
南埼玉郡  ;Minamisaitama-gun;13 765 ;33 567 ;17 192 ;16 375 ;23 ;;;;;
宮代町    ;Miyashiro-machi;13 765 ;33 567 ;17 192 ;16 375 ;23 ;;;;;
北葛飾郡  ;Kitakatsushika-gun;27 602 ;76 032 ;38 172 ;37 860 ;-27 ;;;;;
杉戸町    ;Sugito-machi;17 047 ;45 746 ;22 965 ;22 781 ;-24 ;;;;;
松伏町    ;Matsubushi-machi;10 555 ;30 286 ;15 207 ;15 079 ;-3 ;;;;;
