;三重県の人口  (市町別推計人口);;;;年6月1日;;;;;;;;
;;;;;;;;;;;;;
;総数;男;女;世帯数;;総数;男;女;世帯数;;国 勢 調 査 人 口;;
三重県;1 821 554;886 900;934 654;719 850;桑名郡;6 486;3 266;3 220;2 211;;S50年;1,626,002人;
  市  計;1 593 675;777 026;816 649;633 470;  木曽岬町;6 486;3 266;3 220;2 211;;55年;1,686,936人;
  郡  計;227 879;109 874;118 005;86 380;員弁郡;25 485;12 481;13 004;8 858;;60年;1,747,311人;
津市;280 737;136 107;144 630;115 085;  東員町;25 485;12 481;13 004;8 858;;H 2年;1,792,514人;
四日市市;306 061;151 634;154 427;123 879;三重郡;65 188;32 132;33 056;24 014;;7年;1,841,358人;
伊勢市;127 658;60 204;67 454;50 048;  菰野町;40 333;19 539;20 794;14 327;;12年;1,857,339人;
松阪市;166 162;80 001;86 161;66 209;  朝日町;10 246;5 113;5 133;3 661;;17年;1,866,963人;
桑名市;140 793;69 075;71 718;53 843;  川越町;14 609;7 480;7 129;6 026;;22年;1,854,724人;
鈴鹿市;197 244;98 496;98 748;77 142;多気郡;47 390;22 713;24 677;17 008;;;;
名張市;78 742;37 794;40 948;30 639;  多気町;15 027;7 327;7 700;5 345;;;;
尾鷲市;18 447;8 579;9 868;8 893;  明和町;22 557;10 779;11 778;7 800;;前月までの最高人口;;
亀山市;50 410;25 581;24 829;19 345;  大台町;9 806;4 607;5 199;3 863;;平成17年8月1日現在;;
鳥羽市;19 709;9 231;10 478;8 003;度会郡;46 112;21 864;24 248;17 560;;;　　1,870,907人;
熊野市;18 075;8 412;9 663;8 494;  玉城町;15 463;7 429;8 034;5 411;;;;
いなべ市;45 261;22 970;22 291;16 653;  度会町;8 323;3 991;4 332;2 685;;;;
志摩市;51 273;23 746;27 527;20 680;  大紀町;9 167;4 298;4 869;3 853;;;;
伊賀市;93 103;45 196;47 907;34 557;　南伊勢町;13 159;6 146;7 013;5 611;;;;
;;;;;北牟婁郡;17 093;8 054;9 039;7 741;;;;
;;;;;　紀北町;17 093;8 054;9 039;7 741;;;;
;;;;;南牟婁郡;20 125;9 364;10 761;8 988;;;;
;;;;;  御浜町;8 887;4 134;4 753;3 949;;;;
;;;;;  紀宝町;11 238;5 230;6 008;5 039;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
