（2シートに分けて掲載しています）;;;;;;;;;;;;;;;;;
市区町村別推計人口;;;;;;;;;;;;;;;;;
（注）推計の基礎を平成22年国勢調査確定値とし、これに毎月の住民基本台帳等の増減数を加えて算出したものです。;;;;;;;;;;;;;;;;;
　　　その他の増：職権記載、転出取消、国籍取得等；その他の減：職権消除、国籍喪失等;;;;;;;;;;;;;;;;;
単位：人;;;;;;;;;;;;;;;;;
男女;コード;地域;広域エリア;郡;市区町村等;平成26年 6月 1日現在人口;6月総増減;;;;;;;;;平成26年 7月 1日現在人口;
;;;;;;（前月）;;自然増減;;;社会増減;;;;;;
;;;;;;;;;+)出生;-)死亡;;+)転入;-)転出;+)その他の増;-)その他の減;;
総数;23235;尾張地域;西尾張エリア;;弥富市;43 354;10;△ 8;30;38;18;124;108;6;4;43 364;
総数;23236;西三河地域;西三河エリア;;みよし市;61 583;37;22;50;28;15;218;203;3;3;61 620;
総数;23237;尾張地域;西尾張エリア;;あま市;86 843;24;31;72;41;△ 7;231;244;11;5;86 867;
総数;23238;尾張地域;北東尾張エリア;;長久手市;56 428;186;28;49;21;158;340;183;3;2;56 614;
総数;23302;尾張地域;北東尾張エリア;愛知郡;東郷町;42 657;29;6;30;24;23;139;116;0;0;42 686;
総数;23342;尾張地域;北東尾張エリア;西春日井郡;豊山町;15 079;28;3;10;7;25;83;58;3;3;15 107;
総数;23361;尾張地域;北東尾張エリア;丹羽郡;大口町;22 789;40;10;24;14;30;89;57;1;3;22 829;
総数;23362;尾張地域;北東尾張エリア;丹羽郡;扶桑町;33 872;29;△ 4;22;26;33;141;105;0;3;33 901;
総数;23424;尾張地域;西尾張エリア;海部郡;大治町;30 876;56;6;20;14;50;147;100;4;1;30 932;
総数;23425;尾張地域;西尾張エリア;海部郡;蟹江町;36 618;29;12;31;19;17;144;128;1;0;36 647;
総数;23427;尾張地域;西尾張エリア;海部郡;飛島村;4 491;△ 1;2;3;1;△ 3;12;12;0;3;4 490;
総数;23441;尾張地域;知多エリア;知多郡;阿久比町;27 345;26;0;18;18;26;80;54;0;0;27 371;
総数;23442;尾張地域;知多エリア;知多郡;東浦町;49 893;△ 14;9;38;29;△ 23;108;134;4;1;49 879;
総数;23445;尾張地域;知多エリア;知多郡;南知多町;19 068;62;△ 6;8;14;68;111;43;0;0;19 130;
総数;23446;尾張地域;知多エリア;知多郡;美浜町;24 400;△ 12;△ 8;12;20;△ 4;45;49;0;0;24 388;
総数;23447;尾張地域;知多エリア;知多郡;武豊町;42 624;△ 21;△ 5;23;28;△ 16;105;117;1;5;42 603;
総数;23501;西三河地域;西三河エリア;額田郡;幸田町;39 474;35;19;45;26;16;123;98;2;11;39 509;
総数;23561;東三河地域;東三河エリア;北設楽郡;設楽町;5 172;△ 10;△ 8;1;9;△ 2;8;10;0;0;5 162;
総数;23562;東三河地域;東三河エリア;北設楽郡;東栄町;3 441;△ 10;△ 8;1;9;△ 2;1;3;0;0;3 431;
総数;23563;東三河地域;東三河エリア;北設楽郡;豊根村;1 185;△ 5;△ 2;1;3;△ 3;1;4;0;0;1 180;
男;23000;;;;愛知県;3 716 873;631;290;2 734;2 444;341;13 510;12 963;304;510;3 717 504;
男;23100;尾張地域;;;名古屋市;1 120 643;128;△ 2;784;786;130;5 691;5 438;95;218;1 120 771;
男;23101;;名古屋エリア;;千種区;79 493;63;28;72;44;35;465;417;3;16;79 556;
男;23102;;名古屋エリア;;東区;35 884;3;△ 4;25;29;7;260;247;2;8;35 887;
男;23103;;名古屋エリア;;北区;78 995;4;△ 17;37;54;21;356;331;6;10;78 999;
男;23104;;名古屋エリア;;西区;72 380;59;12;53;41;47;384;336;7;8;72 439;
男;23105;;名古屋エリア;;中村区;68 557;19;△ 26;47;73;45;456;406;2;7;68 576;
男;23106;;名古屋エリア;;中区;39 681;20;△ 7;24;31;27;483;424;10;42;39 701;
男;23107;;名古屋エリア;;昭和区;52 288;△ 8;15;43;28;△ 23;273;290;9;15;52 280;
男;23108;;名古屋エリア;;瑞穂区;50 605;△ 12;10;47;37;△ 22;217;239;1;1;50 593;
男;23109;;名古屋エリア;;熱田区;32 268;△ 18;△ 16;13;29;△ 2;187;184;0;5;32 250;
男;23110;;名古屋エリア;;中川区;108 991;△ 26;7;93;86;△ 33;428;450;9;20;108 965;
男;23111;;名古屋エリア;;港区;72 664;△ 32;△ 28;40;68;△ 4;302;282;4;28;72 632;
男;23112;;名古屋エリア;;南区;69 679;△ 6;△ 18;44;62;12;306;291;7;10;69 673;
男;23113;;名古屋エリア;;守山区;84 360;△ 56;4;59;55;△ 60;291;350;7;8;84 304;
男;23114;;名古屋エリア;;緑区;117 019;92;33;99;66;59;442;382;14;15;117 111;
男;23115;;名古屋エリア;;名東区;78 287;21;18;53;35;3;439;431;10;15;78 308;
男;23116;;名古屋エリア;;天白区;79 492;5;△ 13;35;48;18;402;378;4;10;79 497;
男;23201;東三河地域;東三河エリア;;豊橋市;186 763;1;27;141;114;△ 26;429;447;18;26;186 764;
男;23202;西三河地域;西三河エリア;;岡崎市;189 515;61;29;138;109;32;504;475;15;12;189 576;
男;23203;尾張地域;西尾張エリア;;一宮市;184 287;△ 8;△ 12;135;147;4;404;392;4;12;184 279;
男;23204;尾張地域;北東尾張エリア;;瀬戸市;64 132;△ 24;△ 7;42;49;△ 17;136;156;4;1;64 108;
男;23205;尾張地域;知多エリア;;半田市;58 746;△ 35;11;41;30;△ 46;147;189;1;5;58 711;
男;23206;尾張地域;北東尾張エリア;;春日井市;153 662;△ 10;32;119;87;△ 42;373;409;13;19;153 652;
男;23207;東三河地域;東三河エリア;;豊川市;90 061;△ 30;△ 14;52;66;△ 16;186;197;4;9;90 031;
男;23208;尾張地域;西尾張エリア;;津島市;30 994;17;13;27;14;4;83;82;3;0;31 011;
男;23209;西三河地域;西三河エリア;;碧南市;36 152;△ 30;△ 8;18;26;△ 22;98;112;6;14;36 122;
男;23210;西三河地域;西三河エリア;;刈谷市;77 839;73;32;77;45;41;360;324;9;4;77 912;
男;23211;西三河地域;西三河エリア;;豊田市;219 949;60;60;169;109;0;675;682;29;22;220 009;
男;23212;西三河地域;西三河エリア;;安城市;93 350;42;20;79;59;22;318;286;4;14;93 392;
男;23213;西三河地域;西三河エリア;;西尾市;83 282;32;7;54;47;25;249;225;10;9;83 314;
男;23214;東三河地域;東三河エリア;;蒲郡市;39 888;△ 33;△ 10;22;32;△ 23;70;85;4;12;39 855;
男;23215;尾張地域;北東尾張エリア;;犬山市;36 905;△ 11;△ 4;25;29;△ 7;113;121;2;1;36 894;
男;23216;尾張地域;知多エリア;;常滑市;27 902;25;△ 5;21;26;30;109;78;0;1;27 927;
男;23217;尾張地域;北東尾張エリア;;江南市;48 459;△ 29;0;35;35;△ 29;115;141;0;3;48 430;
男;23219;尾張地域;北東尾張エリア;;小牧市;74 034;32;13;62;49;19;274;245;13;23;74 066;
男;23220;尾張地域;西尾張エリア;;稲沢市;67 531;△ 1;△ 7;39;46;6;195;176;6;19;67 530;
男;23221;東三河地域;東三河エリア;;新城市;23 389;△ 19;△ 14;9;23;△ 5;62;61;2;8;23 370;
男;23222;尾張地域;知多エリア;;東海市;58 311;△ 17;6;38;32;△ 23;192;208;1;8;58 294;
男;23223;尾張地域;知多エリア;;大府市;44 971;42;20;42;22;22;175;152;2;3;45 013;
男;23224;尾張地域;知多エリア;;知多市;42 156;△ 22;△ 9;29;38;△ 13;123;142;8;2;42 134;
男;23225;西三河地域;西三河エリア;;知立市;36 301;12;17;35;18;△ 5;196;200;2;3;36 313;
男;23226;尾張地域;北東尾張エリア;;尾張旭市;39 923;39;6;37;31;33;136;104;2;1;39 962;
男;23227;西三河地域;西三河エリア;;高浜市;23 242;△ 15;4;13;9;△ 19;74;90;2;5;23 227;
男;23228;尾張地域;北東尾張エリア;;岩倉市;23 017;15;10;22;12;5;109;99;1;6;23 032;
男;23229;尾張地域;北東尾張エリア;;豊明市;34 884;10;11;26;15;△ 1;115;119;7;4;34 894;
男;23230;尾張地域;北東尾張エリア;;日進市;44 152;41;19;44;25;22;173;149;0;2;44 193;
男;23231;東三河地域;東三河エリア;;田原市;31 853;△ 21;△ 3;25;28;△ 18;68;83;0;3;31 832;
男;23232;尾張地域;西尾張エリア;;愛西市;30 932;△ 13;△ 21;16;37;8;51;40;0;3;30 919;
男;23233;尾張地域;北東尾張エリア;;清須市;33 066;2;5;29;24;△ 3;143;136;3;13;33 068;
男;23234;尾張地域;北東尾張エリア;;北名古屋市;41 689;30;11;32;21;19;159;143;6;3;41 719;
男;23235;尾張地域;西尾張エリア;;弥富市;21 571;8;2;19;17;6;63;61;6;2;21 579;
男;23236;西三河地域;西三河エリア;;みよし市;32 978;29;14;29;15;15;123;108;2;2;33 007;
男;23237;尾張地域;西尾張エリア;;あま市;43 017;38;23;43;20;15;133;125;9;2;43 055;
男;23238;尾張地域;北東尾張エリア;;長久手市;28 247;99;12;22;10;87;182;95;1;1;28 346;
男;23302;尾張地域;北東尾張エリア;愛知郡;東郷町;21 491;10;2;14;12;8;74;66;0;0;21 501;
男;23342;尾張地域;北東尾張エリア;西春日井郡;豊山町;7 718;12;△ 1;5;6;13;49;37;2;1;7 730;
男;23361;尾張地域;北東尾張エリア;丹羽郡;大口町;11 444;10;3;13;10;7;47;38;1;3;11 454;
男;23362;尾張地域;北東尾張エリア;丹羽郡;扶桑町;16 722;15;△ 2;7;9;17;75;55;0;3;16 737;
男;23424;尾張地域;西尾張エリア;海部郡;大治町;15 679;27;3;13;10;24;75;53;2;0;15 706;
