;;;;;;;;;;;;;
;住基ネットにおける人口【参考値】（北海道総合政策部地域行政局市町村課調）;;;;;;;;;;;;
;"・このデータは住民基本台帳ネットワークシステム上の平成26年6月30日現在の入力状況であり、各市町村が公表する住民基本台帳人口と一致しない場合があります。
・出生時に性別が不明などの理由で、住民基本台帳に記載がない場合、不明に掲載されています。";;;;;;;;;;;;
;;;;;;;;;;;;;平成26年6月30日現在
;市区町村;人　口（人）;;;;;;;;;;;
;;総　数;;;男;;;女;;;不明;;
;;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計
;　町村計;96 068;946;97 014;46 219;349;46 568;49 849;597;50 446;0;0;0
;　　島牧村;1 658;1;1 659;812;0;812;846;1;847;0;0;0
;　　寿都町;3 246;48;3 294;1 598;3;1 601;1 648;45;1 693;0;0;0
;　　黒松内町;3 112;4;3 116;1 475;3;1 478;1 637;1;1 638;0;0;0
;　　蘭越町;5 049;15;5 064;2 412;6;2 418;2 637;9;2 646;0;0;0
;　　ニセコ町;4 743;92;4 835;2 350;61;2 411;2 393;31;2 424;0;0;0
;　　真狩村;2 154;8;2 162;1 053;3;1 056;1 101;5;1 106;0;0;0
;　　留寿都村;1 884;39;1 923;936;14;950;948;25;973;0;0;0
;　　喜茂別町;2 361;37;2 398;1 180;29;1 209;1 181;8;1 189;0;0;0
;　　京極町;3 208;10;3 218;1 567;1;1 568;1 641;9;1 650;0;0;0
;　　倶知安町;15 044;291;15 335;7 442;193;7 635;7 602;98;7 700;0;0;0
;　　共和町;6 337;12;6 349;3 189;3;3 192;3 148;9;3 157;0;0;0
;　　岩内町;13 892;32;13 924;6 524;10;6 534;7 368;22;7 390;0;0;0
;　　泊村;1 780;4;1 784;837;2;839;943;2;945;0;0;0
;　　神恵内村;961;0;961;459;0;459;502;0;502;0;0;0
;　　積丹町;2 363;2;2 365;1 111;2;1 113;1 252;0;1 252;0;0;0
;　　古平町;3 441;41;3 482;1 619;2;1 621;1 822;39;1 861;0;0;0
;　　仁木町;3 511;160;3 671;1 698;2;1 700;1 813;158;1 971;0;0;0
;　　余市町;20 213;140;20 353;9 410;10;9 420;10 803;130;10 933;0;0;0
;　　赤井川村;1 111;10;1 121;547;5;552;564;5;569;0;0;0
;;;;;;;;;;;;;
;胆振計;407 555;1 255;408 810;196 381;573;196 954;211 174;682;211 856;0;0;0
;　市計;350 218;919;351 137;168 814;451;169 265;181 404;468;181 872;0;0;0
;　　室蘭市;90 116;278;90 394;43 213;155;43 368;46 903;123;47 026;0;0;0
;　　苫小牧市;173 623;447;174 070;84 683;230;84 913;88 940;217;89 157;0;0;0
;　　登別市;50 613;105;50 718;24 139;49;24 188;26 474;56;26 530;0;0;0
;　　伊達市;35 866;89;35 955;16 779;17;16 796;19 087;72;19 159;0;0;0
;　町村計;57 337;336;57 673;27 567;122;27 689;29 770;214;29 984;0;0;0
;　　豊浦町;4 325;29;4 354;2 035;18;2 053;2 290;11;2 301;0;0;0
;　　壮瞥町;2 718;12;2 730;1 294;1;1 295;1 424;11;1 435;0;0;0
;　　白老町;18 437;75;18 512;8 817;15;8 832;9 620;60;9 680;0;0;0
;　　厚真町;4 702;12;4 714;2 306;5;2 311;2 396;7;2 403;0;0;0
;　　洞爺湖町;9 544;71;9 615;4 437;14;4 451;5 107;57;5 164;0;0;0
;　　安平町;8 614;28;8 642;4 258;15;4 273;4 356;13;4 369;0;0;0
;　　むかわ町;8 997;109;9 106;4 420;54;4 474;4 577;55;4 632;0;0;0
;;;;;;;;;;;;;
;日高計;71 476;514;71 990;34 909;301;35 210;36 567;213;36 780;0;0;0
;　　日高町;12 910;132;13 042;6 410;75;6 485;6 500;57;6 557;0;0;0
;　　平取町;5 408;127;5 535;2 627;75;2 702;2 781;52;2 833;0;0;0
;　　新冠町;5 686;54;5 740;2 740;26;2 766;2 946;28;2 974;0;0;0
;　　浦河町;13 280;74;13 354;6 484;62;6 546;6 796;12;6 808;0;0;0
;　　様似町;4 724;10;4 734;2 248;2;2 250;2 476;8;2 484;0;0;0
;　　えりも町;5 162;32;5 194;2 577;9;2 586;2 585;23;2 608;0;0;0
;　　新ひだか町;24 306;85;24 391;11 823;52;11 875;12 483;33;12 516;0;0;0
;;;;;;;;;;;;;
;渡島計;416 023;1 406;417 429;192 272;372;192 644;223 751;1 034;224 785;0;0;0
;　市計;319 794;877;320 671;146 783;308;147 091;173 011;569;173 580;0;0;0
;　　函館市;271 854;794;272 648;124 147;288;124 435;147 707;506;148 213;0;0;0
;　　北斗市;47 940;83;48 023;22 636;20;22 656;25 304;63;25 367;0;0;0
;　町村計;96 229;529;96 758;45 489;64;45 553;50 740;465;51 205;0;0;0
;　　松前町;8 305;26;8 331;3 949;2;3 951;4 356;24;4 380;0;0;0
;　　福島町;4 696;33;4 729;2 193;3;2 196;2 503;30;2 533;0;0;0
;　　知内町;4 817;2;4 819;2 319;0;2 319;2 498;2;2 500;0;0;0
;　　木古内町;4 705;23;4 728;2 203;2;2 205;2 502;21;2 523;0;0;0
;　　七飯町;28 697;35;28 732;13 212;9;13 221;15 485;26;15 511;0;0;0
;　　鹿部町;4 226;36;4 262;2 055;1;2 056;2 171;35;2 206;0;0;0
;　　森町;16 942;220;17 162;8 044;20;8 064;8 898;200;9 098;0;0;0
;　　八雲町;17 853;85;17 938;8 675;22;8 697;9 178;63;9 241;0;0;0
;　　長万部町;5 988;69;6 057;2 839;5;2 844;3 149;64;3 213;0;0;0
;;;;;;;;;;;;;
;檜山計;39 956;80;40 036;19 012;14;19 026;20 944;66;21 010;0;0;0
;　　江差町;8 535;8;8 543;4 077;4;4 081;4 458;4;4 462;0;0;0
;　　上ノ国町;5 475;16;5 491;2 575;3;2 578;2 900;13;2 913;0;0;0
;　　厚沢部町;4 274;16;4 290;2 055;5;2 060;2 219;11;2 230;0;0;0
;　　乙部町;4 099;1;4 100;1 885;0;1 885;2 214;1;2 215;0;0;0
;　　奥尻町;2 941;6;2 947;1 504;0;1 504;1 437;6;1 443;0;0;0
;　　今金町;5 753;2;5 755;2 728;1;2 729;3 025;1;3 026;0;0;0
;　　せたな町;8 879;31;8 910;4 188;1;4 189;4 691;30;4 721;0;0;0
;;;;;;;;;;;;;
;上川計;514 216;1 371;515 587;241 221;547;241 768;272 995;824;273 819;0;0;0
;　市計;420 298;997;421 295;196 321;434;196 755;223 977;563;224 540;0;0;0
;　　旭川市;347 094;660;347 754;161 375;294;161 669;185 719;366;186 085;0;0;0
;　　士別市;20 763;47;20 810;9 798;25;9 823;10 965;22;10 987;0;0;0
;　　名寄市;29 148;149;29 297;14 158;78;14 236;14 990;71;15 061;0;0;0
;　　富良野市;23 293;141;23 434;10 990;37;11 027;12 303;104;12 407;0;0;0
